Duration (ms),Status Code,Response Body,Timestamp
142,201,Lift ride recorded for skier 3061,09/03/2024 15:11:55
143,201,Lift ride recorded for skier 4205,09/03/2024 15:11:55
164,201,Lift ride recorded for skier 3293,09/03/2024 15:11:55
141,201,Lift ride recorded for skier 72370,09/03/2024 15:11:55
173,201,Lift ride recorded for skier 70451,09/03/2024 15:11:55
151,201,Lift ride recorded for skier 8462,09/03/2024 15:11:55
158,201,Lift ride recorded for skier 14735,09/03/2024 15:11:55
125,201,Lift ride recorded for skier 31137,09/03/2024 15:11:55
137,201,Lift ride recorded for skier 81061,09/03/2024 15:11:55
131,201,Lift ride recorded for skier 59212,09/03/2024 15:11:55
145,201,Lift ride recorded for skier 55571,09/03/2024 15:11:55
143,201,Lift ride recorded for skier 54293,09/03/2024 15:11:55
142,201,Lift ride recorded for skier 50071,09/03/2024 15:11:55
147,201,Lift ride recorded for skier 73834,09/03/2024 15:11:55
126,201,Lift ride recorded for skier 89739,09/03/2024 15:11:55
128,201,Lift ride recorded for skier 51050,09/03/2024 15:11:55
127,201,Lift ride recorded for skier 20053,09/03/2024 15:11:55
126,201,Lift ride recorded for skier 43648,09/03/2024 15:11:55
118,201,Lift ride recorded for skier 17451,09/03/2024 15:11:55
119,201,Lift ride recorded for skier 62969,09/03/2024 15:11:55
135,201,Lift ride recorded for skier 12102,09/03/2024 15:11:55
141,201,Lift ride recorded for skier 29894,09/03/2024 15:11:55
130,201,Lift ride recorded for skier 96638,09/03/2024 15:11:55
131,201,Lift ride recorded for skier 64989,09/03/2024 15:11:55
152,201,Lift ride recorded for skier 27574,09/03/2024 15:11:55
141,201,Lift ride recorded for skier 40878,09/03/2024 15:11:55
131,201,Lift ride recorded for skier 28342,09/03/2024 15:11:55
137,201,Lift ride recorded for skier 1881,09/03/2024 15:11:55
134,201,Lift ride recorded for skier 85335,09/03/2024 15:11:55
133,201,Lift ride recorded for skier 14126,09/03/2024 15:11:55
128,201,Lift ride recorded for skier 19682,09/03/2024 15:11:55
150,201,Lift ride recorded for skier 78895,09/03/2024 15:11:55
150,201,Lift ride recorded for skier 6892,09/03/2024 15:11:55
152,201,Lift ride recorded for skier 84023,09/03/2024 15:11:55
153,201,Lift ride recorded for skier 40892,09/03/2024 15:11:55
153,201,Lift ride recorded for skier 14845,09/03/2024 15:11:55
